FID	IID	PRS
ID_195	ID_195	-0.000288023
ID_196	ID_196	-0.00888419
ID_197	ID_197	0.00456077
ID_198	ID_198	0.00176694
ID_199	ID_199	0.00459367
ID_200	ID_200	-0.0118843
ID_201	ID_201	0.0121296
ID_202	ID_202	0.0028484
ID_203	ID_203	0.00146878
ID_204	ID_204	0.010077
ID_205	ID_205	0.00253363
ID_206	ID_206	-0.0024054
ID_207	ID_207	-0.00288207
ID_208	ID_208	0.00538278
ID_209	ID_209	-0.00124156
ID_210	ID_210	0.00578057
ID_211	ID_211	0.00616099
ID_212	ID_212	-0.00606709
ID_213	ID_213	0.000728742
ID_214	ID_214	-0.00120167
ID_215	ID_215	0.00100326
ID_216	ID_216	-0.000174106
ID_217	ID_217	0.00018519
ID_218	ID_218	-0.00645304
ID_219	ID_219	0.00412741
ID_220	ID_220	0.00823049
ID_221	ID_221	0.00362346
ID_222	ID_222	0.00137126
ID_223	ID_223	0.00717457
ID_224	ID_224	-0.0044887
ID_225	ID_225	0.00701062
ID_226	ID_226	0.000437193
ID_227	ID_227	0.00369544
ID_228	ID_228	4.22434e-05
ID_229	ID_229	-0.000750728
ID_230	ID_230	0.00654432
ID_231	ID_231	0.0038773
ID_232	ID_232	0.0033722
ID_233	ID_233	-0.00793808
ID_234	ID_234	0.00565301
ID_235	ID_235	0.00106177
ID_236	ID_236	-0.0077241
ID_237	ID_237	0.000749533
ID_238	ID_238	0.00205162
ID_239	ID_239	0.00146561
ID_240	ID_240	0.000401968
ID_241	ID_241	-0.000466572
ID_242	ID_242	-0.0174612
ID_243	ID_243	0.00579992
ID_244	ID_244	0.0127546
ID_245	ID_245	0.00268182
ID_246	ID_246	0.0075563
ID_247	ID_247	0.00381886
ID_248	ID_248	0.0098931
ID_249	ID_249	-0.00434389
ID_250	ID_250	0.00513526
ID_251	ID_251	0.00331516
ID_252	ID_252	0.00771001
ID_253	ID_253	-0.00435378
ID_254	ID_254	0.0103442
ID_255	ID_255	0.00606078
ID_256	ID_256	-0.000228369
ID_257	ID_257	0.0093844
ID_258	ID_258	-0.00102111
ID_259	ID_259	0.00208906
ID_260	ID_260	0.00960423
ID_261	ID_261	0.00492441
ID_262	ID_262	0.000321431
ID_263	ID_263	-0.00539832
ID_264	ID_264	0.000345521
ID_265	ID_265	0.00646628
ID_266	ID_266	-0.00614189
ID_267	ID_267	-0.00219507
ID_268	ID_268	0.00380775
ID_269	ID_269	0.00326051
ID_270	ID_270	-0.00129525
ID_271	ID_271	-0.00375556
ID_272	ID_272	-0.00325969
ID_273	ID_273	-0.0022548
ID_274	ID_274	0.00439646
ID_275	ID_275	0.0115528
ID_276	ID_276	0.00539423
ID_277	ID_277	0.00913094
ID_278	ID_278	0.00800983
ID_279	ID_279	-0.00591429
ID_280	ID_280	-0.00596137
ID_281	ID_281	-0.00640923
ID_282	ID_282	-0.00452799
ID_283	ID_283	0.00592876
ID_284	ID_284	0.00509099
ID_285	ID_285	0.00626765
ID_286	ID_286	-0.00234431
ID_287	ID_287	0.00052643
ID_288	ID_288	-0.00170785
ID_289	ID_289	0.00658529
ID_290	ID_290	0.00224699
ID_291	ID_291	0.0013841
ID_292	ID_292	0.00127536
ID_293	ID_293	-0.012988
ID_294	ID_294	0.0023227
ID_295	ID_295	-0.00812949
ID_296	ID_296	0.010114
ID_297	ID_297	0.0036015
ID_298	ID_298	0.0121104
ID_299	ID_299	0.00201537
ID_300	ID_300	0.00706238
ID_301	ID_301	0.00271891
ID_302	ID_302	0.00249979
ID_303	ID_303	-0.000165202
ID_304	ID_304	0.00420719
ID_305	ID_305	-0.00907803
ID_306	ID_306	0.00583789
ID_307	ID_307	-0.000450548
ID_308	ID_308	0.0008953
ID_309	ID_309	0.0101703
ID_310	ID_310	0.0017797
ID_311	ID_311	-0.00367491
ID_312	ID_312	-0.00623938
ID_313	ID_313	-0.00278523
ID_314	ID_314	0.000196906
ID_315	ID_315	0.0018008
ID_316	ID_316	-0.0052985
ID_317	ID_317	0.000510386
ID_318	ID_318	0.00627893
ID_319	ID_319	-0.000713731
ID_320	ID_320	0.0027143
ID_321	ID_321	0.00319596
ID_322	ID_322	0.00862843
ID_323	ID_323	0.0011185
ID_324	ID_324	0.00150452
ID_325	ID_325	-0.000368049
ID_326	ID_326	0.00727185
ID_327	ID_327	-0.00265573
ID_328	ID_328	0.0129726
ID_329	ID_329	0.00122038
ID_330	ID_330	0.00380016
ID_331	ID_331	0.0019576
ID_332	ID_332	-0.00173018
ID_333	ID_333	-0.000447694
ID_334	ID_334	-0.00137236
ID_335	ID_335	0.000850907
ID_336	ID_336	0.00391454
ID_337	ID_337	0.00242892
ID_338	ID_338	0.00410194
ID_339	ID_339	-0.00174983
ID_340	ID_340	0.00650427
ID_341	ID_341	-0.000134582
ID_342	ID_342	-0.00864787
ID_343	ID_343	0.00560704
ID_344	ID_344	0.00834421
ID_345	ID_345	0.00192861
ID_346	ID_346	-0.00776284
ID_347	ID_347	-0.00396805
ID_348	ID_348	-0.00909931
ID_349	ID_349	0.0101444
ID_350	ID_350	-0.00344845
ID_351	ID_351	0.00332854
ID_352	ID_352	-0.00146414
ID_353	ID_353	0.0059883
ID_354	ID_354	0.0050388
ID_355	ID_355	0.00540989
ID_356	ID_356	0.00462999
ID_357	ID_357	0.00375757
ID_358	ID_358	0.00843468
ID_359	ID_359	0.000298576
ID_360	ID_360	0.0059095
ID_361	ID_361	0.00340983
ID_362	ID_362	0.00758353
ID_363	ID_363	0.0250062
ID_364	ID_364	0.00761173
ID_365	ID_365	0.00141212
ID_366	ID_366	-0.00401213
ID_367	ID_367	0.00207185
ID_368	ID_368	-0.00177799
ID_369	ID_369	0.00678993
ID_370	ID_370	0.0085297
ID_371	ID_371	0.00031309
ID_372	ID_372	0.00221147
ID_373	ID_373	-0.00651313
ID_374	ID_374	0.000316325
ID_375	ID_375	-0.00265293
ID_376	ID_376	0.00808978
ID_377	ID_377	-0.00847541
ID_378	ID_378	-0.00257397
ID_379	ID_379	-0.013332
ID_380	ID_380	0.0108084
ID_381	ID_381	-0.00510949
ID_382	ID_382	0.00117451
ID_383	ID_383	-0.0016669
ID_384	ID_384	0.00965131
ID_385	ID_385	0.00653472
ID_386	ID_386	-0.00775698
ID_387	ID_387	0.00555938
ID_388	ID_388	0.00732788
ID_389	ID_389	-0.00370384
ID_390	ID_390	0.00196831
ID_391	ID_391	-0.00225948
ID_392	ID_392	-0.00227261
ID_393	ID_393	0.000805865
ID_394	ID_394	0.000677729
ID_395	ID_395	0.00976552
ID_396	ID_396	0.0169659
ID_397	ID_397	-0.00398013
ID_398	ID_398	0.00103139
ID_399	ID_399	0.00180211
ID_400	ID_400	0.0069242
ID_401	ID_401	-0.0049421
ID_402	ID_402	-0.00592186
ID_403	ID_403	0.0101517
ID_404	ID_404	0.00688089
ID_405	ID_405	0.00528765
ID_406	ID_406	0.00677084
ID_407	ID_407	0.00311857
ID_408	ID_408	-0.00155019
ID_409	ID_409	0.00497054
ID_410	ID_410	0.00223999
ID_411	ID_411	-0.00432531
ID_412	ID_412	0.00518546
ID_413	ID_413	-0.00775168
ID_414	ID_414	0.00712412
ID_415	ID_415	0.0044577
ID_416	ID_416	0.0048491
ID_417	ID_417	-0.00183341
ID_418	ID_418	0.00217832
ID_419	ID_419	0.00305949
ID_420	ID_420	-0.00137607
ID_421	ID_421	0.00274594
ID_422	ID_422	-0.00237318
ID_423	ID_423	0.0004314
ID_424	ID_424	0.00396031
ID_425	ID_425	0.0131881
ID_426	ID_426	0.013667
ID_427	ID_427	0.00416578
ID_428	ID_428	0.0022247
ID_429	ID_429	0.00477463
ID_430	ID_430	0.00389326
ID_431	ID_431	1.85547e-05
ID_432	ID_432	0.001136
ID_433	ID_433	0.00466279
ID_434	ID_434	-0.00708663
ID_435	ID_435	0.00936772
ID_436	ID_436	0.00457889
ID_437	ID_437	0.00843566
ID_438	ID_438	-0.00364851
ID_439	ID_439	0.0081842
ID_440	ID_440	0.0166903
ID_441	ID_441	0.0112369
ID_442	ID_442	-0.00198914
ID_443	ID_443	-0.00336362
ID_444	ID_444	-0.00693103
ID_445	ID_445	0.00156847
ID_446	ID_446	0.00647942
ID_447	ID_447	0.00497429
ID_448	ID_448	0.000904171
ID_449	ID_449	0.00437049
ID_450	ID_450	4.11417e-06
ID_451	ID_451	-0.00318077
ID_452	ID_452	0.00355263
ID_453	ID_453	0.00238632
ID_454	ID_454	0.00547369
ID_455	ID_455	-0.00196598
ID_456	ID_456	-0.00529718
ID_457	ID_457	0.00278412
ID_458	ID_458	-0.00426095
ID_459	ID_459	0.0061632
ID_460	ID_460	-0.00293859
ID_461	ID_461	-0.00284937
ID_462	ID_462	-0.00397931
ID_463	ID_463	0.00130671
ID_464	ID_464	0.00590079
ID_465	ID_465	0.0079071
ID_466	ID_466	0.0146454
ID_467	ID_467	0.00410843
ID_468	ID_468	-0.00268192
ID_469	ID_469	0.00994665
ID_470	ID_470	0.00333373
ID_471	ID_471	0.00234099
ID_472	ID_472	-0.00152408
ID_473	ID_473	-0.00378265
ID_474	ID_474	0.00685483
ID_475	ID_475	-0.00170055
ID_476	ID_476	-0.00142855
ID_477	ID_477	-0.000414007
ID_478	ID_478	0.00536351
ID_479	ID_479	0.000481482
ID_480	ID_480	0.0154973
ID_481	ID_481	0.00804455
ID_482	ID_482	-0.000779135
ID_483	ID_483	0.00756335
ID_484	ID_484	0.00742716
ID_485	ID_485	0.000700968
ID_486	ID_486	0.00731824
ID_487	ID_487	0.00238084
ID_488	ID_488	0.00289646
ID_489	ID_489	-0.00249759
ID_490	ID_490	-0.000467681
ID_491	ID_491	-0.00515564
ID_492	ID_492	0.00646941
ID_493	ID_493	-0.00140276
ID_494	ID_494	0.00182845
ID_495	ID_495	7.07612e-05
ID_496	ID_496	0.0100865
ID_497	ID_497	0.00841068
ID_498	ID_498	0.00299114
ID_499	ID_499	-0.00149724
ID_500	ID_500	0.00396197
ID_501	ID_501	-0.0116897
ID_502	ID_502	-0.00889176
ID_503	ID_503	0.00979381
ID_504	ID_504	0.0108109
ID_505	ID_505	0.00413285
ID_506	ID_506	-0.000253254
ID_507	ID_507	-0.0078619
ID_508	ID_508	0.0049421
ID_509	ID_509	0.00704009
ID_510	ID_510	-0.00907747
ID_511	ID_511	-0.00528724
ID_512	ID_512	-0.0051647
ID_513	ID_513	0.00888936
ID_514	ID_514	0.015786
ID_515	ID_515	0.00116919
ID_516	ID_516	0.000266704
ID_517	ID_517	-0.00376762
ID_518	ID_518	-0.00307597
ID_519	ID_519	0.00137529
ID_520	ID_520	0.00697541
ID_521	ID_521	0.00716843
ID_522	ID_522	-0.00185129
ID_523	ID_523	0.0139195
ID_524	ID_524	0.000787999
ID_525	ID_525	-0.010329
ID_526	ID_526	0.00544988
