ID_1	ID_1	0.787403812314451	-3.04026	45	-12.048	2.17634	-0.940322	-0.446351	-5.45685	-2.53161	-2.13435	-1.95623	-3.82792	-0.380636	10
ID_2	ID_2	-0.119722138532781	-5.1054	64	-14.5169	6.01889	-3.85803	3.62625	5.10717	-3.54574	0.393994	3.64275	4.42975	-2.26704	19
ID_3	ID_3	0.173372721351375	-1.91044	59	-12.7462	5.95244	0.0738914	1.80523	4.76284	0.130369	-1.05615	0.316777	0.988783	-1.76502	7
ID_4	ID_4	-0.699321184695051	-1.83526	68	-10.3349	4.71264	-1.84521	-0.524855	-3.80275	0.837965	0.265233	2.10903	-0.210259	0.71504	20
ID_5	ID_5	3.69300366651739	-3.15649	69	-8.56737	4.78248	-1.49547	-7.49413	-5.39887	1.85316	4.07476	1.05351	0.825942	-2.09669	20
ID_6	ID_6	1.74319935286785	-4.21463	64	-13.0248	2.72961	-0.312955	1.28868	-1.08069	-1.5565	1.23547	-0.962512	6.68865	-1.59889	15
ID_7	ID_7	-0.904160165329045	-0.459335	43	-12.3757	2.65854	-4.34229	2.36918	-0.594377	-3.60875	-0.223473	1.69322	0.98806	-1.57428	10
ID_8	ID_8	-1.6406890647583	-0.930082	58	-13.3029	3.36692	-4.15266	2.05536	2.08994	1.35142	-2.0101	2.28622	2.56987	-3.28736	20
ID_9	ID_9	-0.295938161678989	-0.788165	67	-9.84029	6.31959	-4.82944	-1.27675	-7.48173	0.435763	1.0106	0.941793	3.37162	-1.22328	7
ID_10	ID_10	-0.164821780035677	-4.26064	67	-13.972	4.60617	-4.13267	1.74489	7.77612	-0.285812	1.11394	-3.27956	-15.3115	3.5908	7
ID_11	ID_11	0.280323299772527	-0.0699412	63	-10.5443	4.1299	-1.41679	1.3992	-1.33772	-2.31129	2.15445	1.42185	3.23859	0.568515	7
ID_12	ID_12	-0.678598585952972	-4.98428	65	-10.799	2.32872	-3.98721	-0.603182	-3.83723	1.03047	0.494921	-2.47555	-3.43561	3.04281	10
ID_13	ID_13	-0.848160563631539	-3.71808	46	-11.8241	4.30399	-2.35667	7.64076	17.5427	-0.730558	1.11116	3.10965	3.33823	-0.832514	10
ID_14	ID_14	1.02399209560833	-3.45027	61	-13.7088	1.75323	-2.32456	-2.83353	-0.861331	4.76863	-0.196847	-3.82905	1.19428	1.21731	10
ID_15	ID_15	0.883623422171916	-1.43105	53	-12.3097	4.16123	-0.617502	-1.82277	-6.33763	-0.478463	1.44054	-0.622044	-2.31389	-2.37992	20
ID_16	ID_16	-1.05409798986654	-2.43692	69	-10.6625	5.23653	0.35828	0.392578	7.08478	0.794493	0.577627	0.113762	5.3751	-3.66579	13
ID_17	ID_17	0.285202933115464	-4.09671	41	-11.971	2.82348	-2.0443	1.30379	5.01493	1.43168	-0.257768	1.82462	0.777503	-2.53237	20
ID_18	ID_18	-0.115962074744718	-4.50466	65	-11.6666	5.21704	-2.04051	4.72318	7.72983	-1.03051	-0.728714	1.4701	4.20023	0.340666	7
ID_19	ID_19	0.411376309554243	-3.90368	65	-12.8451	3.37486	-0.147486	0.961073	-1.18122	-0.245464	2.03999	1.94996	-3.89329	-1.94445	10
ID_20	ID_20	-0.135058129039153	-4.4911	66	-10.062	4.17543	0.347387	0.540473	-4.70181	2.64544	-2.73873	-1.43334	2.69471	3.15543	15
ID_21	ID_21	0.447794006018408	-4.31692	64	-12.7563	3.34093	1.72434	0.0384341	-5.98676	-0.847065	0.200377	-4.21323	-1.58628	6.01025	20
