FID	IID	PRS
ID_193	ID_193	-0.00957026
ID_194	ID_194	-0.00350431
ID_195	ID_195	0.00353786
ID_196	ID_196	0.00834153
ID_197	ID_197	-0.0043005
ID_198	ID_198	0.00494228
ID_199	ID_199	-0.00947259
ID_200	ID_200	-0.00177839
ID_201	ID_201	0.00399781
ID_202	ID_202	0.00595003
ID_203	ID_203	0.00877965
ID_204	ID_204	-0.00363745
ID_205	ID_205	-0.00215304
ID_206	ID_206	0.000883255
ID_207	ID_207	-0.00235195
ID_208	ID_208	0.000618074
ID_209	ID_209	-0.00283191
ID_210	ID_210	-0.00367138
ID_211	ID_211	-0.00750215
ID_212	ID_212	0.00249819
ID_213	ID_213	0.00354416
ID_214	ID_214	0.00407217
ID_215	ID_215	-0.00254043
ID_216	ID_216	-0.00165268
ID_217	ID_217	0.000798139
ID_218	ID_218	-0.00231641
ID_219	ID_219	0.00284111
ID_220	ID_220	-0.00572664
ID_221	ID_221	-0.00533288
ID_222	ID_222	0.00861486
ID_223	ID_223	-0.00614087
ID_224	ID_224	0.0055877
ID_225	ID_225	-0.00603636
ID_226	ID_226	-0.000656173
ID_227	ID_227	-0.00503729
ID_228	ID_228	0.00105174
ID_229	ID_229	-0.00165249
ID_230	ID_230	0.00433658
ID_231	ID_231	-0.000279848
ID_232	ID_232	0.00148271
ID_233	ID_233	-0.000635493
ID_234	ID_234	-0.00257677
ID_235	ID_235	0.000432205
ID_236	ID_236	0.00393614
ID_237	ID_237	-0.00210843
ID_238	ID_238	0.0031529
ID_239	ID_239	-0.00758225
ID_240	ID_240	0.001286
ID_241	ID_241	-0.0021978
ID_242	ID_242	0.0106189
ID_243	ID_243	0.00474238
ID_244	ID_244	0.00472295
ID_245	ID_245	0.00271814
ID_246	ID_246	0.000632283
ID_247	ID_247	-0.00282644
ID_248	ID_248	0.00356497
ID_249	ID_249	-0.00133534
ID_250	ID_250	-0.00168614
ID_251	ID_251	-0.000703623
ID_252	ID_252	-0.000958317
ID_253	ID_253	-0.00205611
ID_254	ID_254	-0.00418718
ID_255	ID_255	0.0023173
ID_256	ID_256	0.00367257
ID_257	ID_257	0.00519204
ID_258	ID_258	-0.00817765
ID_259	ID_259	-0.000980525
ID_260	ID_260	0.00192421
ID_261	ID_261	-0.0051607
ID_262	ID_262	0.00857925
ID_263	ID_263	0.00311882
ID_264	ID_264	-0.0071318
ID_265	ID_265	0.00365464
ID_266	ID_266	-0.00134119
ID_267	ID_267	0.00537585
ID_268	ID_268	0.000594625
ID_269	ID_269	0.0022711
ID_270	ID_270	0.00470396
ID_271	ID_271	0.00760529
ID_272	ID_272	0.00479471
ID_273	ID_273	0.00393466
ID_274	ID_274	0.0019268
ID_275	ID_275	0.00194571
ID_276	ID_276	-0.000633668
ID_277	ID_277	-0.000706956
ID_278	ID_278	0.00826403
ID_279	ID_279	0.00460325
ID_280	ID_280	0.00229101
ID_281	ID_281	0.0041865
ID_282	ID_282	0.000387585
ID_283	ID_283	0.00182642
ID_284	ID_284	-0.0100533
ID_285	ID_285	0.00810017
ID_286	ID_286	0.0047709
ID_287	ID_287	0.00296996
ID_288	ID_288	-0.00338583
ID_289	ID_289	0.00119339
ID_290	ID_290	-0.00278885
ID_291	ID_291	0.000710727
ID_292	ID_292	-0.00221437
ID_293	ID_293	0.00345448
ID_294	ID_294	0.00194471
ID_295	ID_295	0.013103
ID_296	ID_296	-0.00173932
ID_297	ID_297	-0.00203578
ID_298	ID_298	-0.000698745
ID_299	ID_299	0.00506483
ID_300	ID_300	-0.00152481
ID_301	ID_301	0.00447232
ID_302	ID_302	-0.00171399
ID_303	ID_303	-0.00454016
ID_304	ID_304	-0.00678399
ID_305	ID_305	-0.00334288
ID_306	ID_306	0.00257523
ID_307	ID_307	0.00446647
ID_308	ID_308	0.00177977
ID_309	ID_309	-0.00398355
ID_310	ID_310	0.00157901
ID_311	ID_311	-0.00197719
ID_312	ID_312	0.0054494
ID_313	ID_313	0.00263166
ID_314	ID_314	0.00448318
ID_315	ID_315	0.00746048
ID_316	ID_316	0.00764386
ID_317	ID_317	-0.010928
ID_318	ID_318	-0.00107896
ID_319	ID_319	0.0052821
ID_320	ID_320	0.00544574
ID_321	ID_321	0.00387492
ID_322	ID_322	-0.00531739
ID_323	ID_323	0.00372515
ID_324	ID_324	0.000338286
ID_325	ID_325	-0.00764195
ID_326	ID_326	-0.0048965
ID_327	ID_327	0.00156494
ID_328	ID_328	-0.000705148
ID_329	ID_329	0.00177294
ID_330	ID_330	-0.0041529
ID_331	ID_331	-0.00095371
ID_332	ID_332	-0.00433632
ID_333	ID_333	0.00415321
ID_334	ID_334	0.00342009
ID_335	ID_335	-0.00350847
ID_336	ID_336	-0.00309198
ID_337	ID_337	0.00829044
ID_338	ID_338	-0.000753695
ID_339	ID_339	0.00852184
ID_340	ID_340	-0.00167305
ID_341	ID_341	-0.000198924
ID_342	ID_342	0.011756
ID_343	ID_343	0.00308786
ID_344	ID_344	-0.00122753
ID_345	ID_345	0.000922695
ID_346	ID_346	0.00715383
ID_347	ID_347	-8.15305e-05
